1001	 Ankit	 BA	 3500
1002	 Ankit	 MTECH	 45000
1003	 Ankit	 LOW	 50000
1004	 Daksh	 Hacking	 200000
1005	 Pratik	 LOW	 50000
1006	 Anjali	 MSCIT	 500000
1007	 rahul	 iit	 200000
1008	 rahul	 iit	 200000
1009	 rahul	 iit	 200000
1010	 rahul	 iit	 200000
1011	 rahul	 iit	 200000
1012	 rahul	 iit	 200000
1013	 rahul	 iit	 200000
1014	 rahul	 iit	 200000
1015	 rahul	 iit	 200000
1016	 rahul	 iit	 200000
1017	 rahul	 iit	 200000
1018	 rahul	 iit	 200000
1019	 rahul	 iit	 200000
1020	 rahul	 iit	 200000
1021	 rahul	 iit	 200000
1022	 rahul	 iit	 200000
1023	 rahul	 iit	 200000
1024	 rahul	 iit	 200000
1025	 rahul	 iit	 200000
1026	 rahul	 iit	 200000
1027	 rahul	 iit	 200000
1028	 rahul	 iit	 200000
1029	 rahul	 iit	 200000
1030	 rahul	 iit	 200000
1031	 rahul	 iit	 200000
1032	 rahul	 iit	 200000
1033	 rahul	 iit	 200000
1034	 rahul	 iit	 200000
1035	 rahul	 iit	 200000
1036	 rahul	 iit	 200000
1037	 rahul	 iit	 200000
1038	 rahul	 iit	 200000
1039	 rahul	 iit	 200000
1040	 rahul	 iit	 200000
1041	 rahul	 iit	 200000
1042	 rahul	 iit	 200000
1043	 rahul	 iit	 200000
1044	 rahul	 iit	 200000
1045	 rahul	 iit	 200000
1046	 rahul	 iit	 200000
1047	 rahul	 iit	 200000
1048	 rahul	 iit	 200000
1049	 rahul	 iit	 200000
1050	 rahul	 iit	 200000
1051	 rahul	 iit	 200000
1052	 hariom	 BCA	 60000
